Month,Day,Artist,Album_Name,Record_Label,Year
April,9,"Brockhampton
","Roadrunner: New Light, New Machine
","Question Everything, RC",2021
April,9,"Kid Ink
","ALIVE
",Tha Alumn,2021
April,9,"MO3
","Shottaz 4Eva
",EMPIR,2021
April,9,"Yelawolf and Riff Raff
","Turquoise Tornado
","Million Dollar Mullet Music, Slumerica",2021
April,16,"AJ Tracey
","Flu Game
",Revenge Record,2021
April,16,"Big Scarr
","Big Grim Reaper
","Atlantic Records, 1017 Record",2021
April,16,"Conway the Machine
","La Maquina
","Griselda, EMPIR",2021
April,16,"iLoveMakonnen
","My Parade
","Timeless Magic, Cor Ta",2021
April,16,"Kenny Mason
","Angelic Hoodrat: Supercut
",Self-release,2021
April,16,"Saweetie
","Pretty Summer Playlist: Season 1
","ICY, Warne",2021
April,16,"Vince Ash
","VITO (Deluxe)
","Goliath, Interscop",2021
April,16,"Yelawolf and DJ Paul
","Slumafia
",Slumerica,2021
April,16,"Young Stoner Life, Young Thug, and Gunna
","Slime Language 2
","300 Entertainment, YSL Record",2021
April,16,"Talib Kweli and Diamond D
","Gotham
",Javotti Medi,2021
April,20,"Curren$y
","Financial District
",NF,2021
April,20,"Khrysis
","The Hour of Khrysis
","Jamla Records, EMPIR",2021
April,20,"Snoop Dogg
","From tha Streets 2 tha Suites
","Doggystyle Records, EMPIR",2021
April,22,"Cordae
","Just Until...
",Atlanti,2021
April,23,"Vinnie Paz
","Burn Everything That Bears Your Name
",Iron Tus,2021
April,23,"Slim Thug
","SDS Vibes
",Hogg Lif,2021
April,23,"Lil Yachty
","Michigan Boy Boat
","Quality Control Music, Capitol Records, Motown Records",2021
April,23,"Moneybagg Yo
","A Gangsta's Pain
","Collective Music Group, Roc Nation, Bread Gang, N-Less, Interscope Record",2021
April,23,"Yelawolf and DJ Muggs
","Mile Zero
","Slumerican, Soul Assassin",2021
April,23,"Young Stoner Life, Young Thug, and Gunna
","Slime Language 2 (Deluxe)
","300 Entertainment, YSL Record",2021
April,28,"Morray
","Street Sermons
",Pick Si,2021
April,30,"The Alchemist
","This Thing of Ours
",ALC Record,2021
April,30,"DJ Khaled
","Khaled Khaled
","We The Best Music, Epic Records, Roc Natio",2021
April,30,"Shelley FKA DRAM
","Shelley FKA DRAM
","EMPIRE, Atlanti",2021
April,30,"Yelawolf
","Mud Mouth
",Slumerica,2021
April,30,"Papoose
","April
",Honorable Record,2021
May,7,"Cochise
","BENBOW CRESCENT
",Columbia Record,2021
May,7,"Czarface and MF DOOM
","Super What?
",Silver Ag,2021
May,7,"Night Lovell
","Just Say You Don’t Care
",G*59 Record,2021
May,7,"Quando Rondo
","Still Taking Risks
","Never Broke Again, Atlantic Record",2021
May,7,"Tee Grizzley
","Built For Whatever
",300 Entertainmen,2021
May,7,"Toosii
","Thank You For Believing
","South Coast Music Group, Capitol Record",2021
May,14,"Deno
","Boy Meets World
",Sony Music U,2021
May,14,"Lil Skies
","Unbothered (Deluxe)
",Atlantic Record,2021
May,14,"J. Cole
","The Off Season
","Dreamville, Roc Nation, Interscope Record",2021
May,14,"Pi'erre Bourne
","The Life of Pi'erre 5
","Interscope Records, SossHous",2021
May,14,"YG & Mozzy
","Perfect Timing
","4Hunnid Records, Def Jam, Empire Distributio",2021
May,18,"Young Nudy
","Dr. Evil
",RC,2021
May,21,"Caskey
","Fine Art
",Black Sheep Record,2021
May,28,"Fire in Little Africa
","Fire in Little Africa
","Motown Records, Black Foru",2021
May,28,"Lil Durk & Lil Baby
","Voice Of The Heroes
","Alamo Records, Interscope Records, 4PF, Wolfpack, Quality Control Music, Motown Record",2021
May,"TBA
","MC Eiht
","Revolution of Progress
","Blue Stamp Entertainment, Year Round Record",2021
May,"TBA
","Lil Gotit
","Top Chef Gotit
",Alamo Record,2021
May,"TBA
","Ski Mask the Slump God
","TBA
","Victor Victor, Republic Record",2021
June,4,"Smoke DZA
","The Hustler's Catalog 2
","RFC, Cinematic Music Grou",2021
June,11,"Skyzoo
","All the Brilliant Things
",Mello Music Grou,2021
June,18,"Gucci Mane
","Ice Daddy
",Atlantic Record,2021
June,25,"Evidence
","Unlearning, Vol. 1
",Rhymesayers Entertainmen,2021
June,"TBA
","Doja Cat
","Planet Her
","Kemosabe Records, RCA Record",2021
June,"TBA
","G-Eazy
","These Things Happen Too
","BPG, RVG, RCA Record",2021
June,"TBA
","Isaiah Rashad
","The House is Burning
","Top Dawg Entertainment, Warner Record",2021
July,9,"Rejjie Snow
","Baw Baw Black Sheep
",300 Entertainmen,2021
July,16,"KSI
","All Over the Place
","RBC, BM",2021
July,20,"Pop Smoke
","TBA
","Victor Victor Worldwide, Republic Record",2021
July,"TBA
","Iann Dior
","nothings ever good enough 2
","Internet Money, 10K, Caroline Record",2021
January,1,"Brother N.I.P
","Conversation with the Gangstas
",Psych Ward En,2020
January,3,"Famous Dex
","Dexter 2031
",Rich Forever Musi,2020
January,10,"Big Ghost Ltd
","Carpe Noctem
",Big Ghost Ltd. Musi,2020
January,10,"Mick Jenkins
","The Circus
","Free Nation, Cinemati",2020
January,10,"Moneybagg Yo
","Time Served
","N-Less, Interscop",2020
January,10,"Quando Rondo
","QPac
","Never Broke Again, Atlanti",2020
January,17,"070 Shake
","Modus Vivendi
","GOOD Music, Def Ja",2020
January,17,"Eminem
","Music to Be Murdered By
","Shady, Aftermath, Interscop",2020
January,17,"Mac Miller
","Circles
",Warne,2020
January,17,"The Professionals (Oh No and Madlib)
","The Professionals
",Madlib Invazio,2020
January,17,"Stunna 4 Vegas
","Rich Youngin
","Billion Dollar Baby, Interscop",2020
January,17,"Various artists
","Bad Boys for Life – The Soundtrack
","We The Best, Epi",2020
January,24,"J Hus
","Big Conspiracy
",Black Butte,2020
January,24,"M Huncho
","Huncholini the 1st
",Islan,2020
January,24,"Sy Ari Da Kid
","It Was Unwritten
",Self-release,2020
January,27,"Cardo
","Game Related
","EI$G, TFM, BYLU",2020
January,31,"DJ Fresh and Curren$y
","The Tonite Show with Currensy
","The Flesh, RB",2020
January,31,"Key Glock
","Yellow Tape
","Paper Route, Empir",2020
January,31,"Lil Wayne
","Funeral
","Young Money, Republi",2020
January,31,"Russ
","Shake the Snow Globe
","Russ My Way Inc., Columbi",2020
January,31,"Yo Gotti
","Untrapped
","Inevitable II Records, CMG, Epi",2020
January,31,"Plies
","The Real Testament II
",Slip-N-Slide Record,2020
February,2,"Esham
","She Loves Me
",Reel Life Production,2020
February,4,"Marv Won
","Until...
",[55],2020
February,7,"2 Chainz and T.R.U
","No Face No Case
","T.R.U., Atlanti",2020
February,7,"Boldy James and The Alchemist
","The Price of Tea in China
","Boldy James, ALC Records, EMPIR",2020
February,7,"Denzel Curry and Kenny Beats
","Unlocked
","PH Recordings, Loma Vist",2020
February,7,"D Smoke
","Black Habits
","WoodWork Records, EMPIR",2020
February,7,"Jaz-O
","The Warmup
",Kingz Kounty Media Grou,2020
February,7,"Pop Smoke
","Meet the Woo 2
","Victor Victor, Republi",2020
February,7,"Toosii
","Platinum Heart
",South Coast Music Grou,2020
February,14,"A Boogie wit da Hoodie
","Artist 2.0
","Highbridge The Label, Atlanti",2020
February,14,"Fetty Wap
","Trap & B
","RGF, 30",2020
February,14,"Lil' Flip
","Feelings
","GT Digital, Clover ",2020
February,14,"No Feelings
","GT Digital, Lil Flip[63]
",,2020
February,14,"$uicideBoy$
","Stop Staring at the Shadows
",G*59 Record,2020
February,14,"Twista
","Lifetime
",GMG Entertainmen,2020
February,14,"Vinnie Paz
","As Above So Below
",Enemy Soi,2020
February,14,"Yung Gravy and bbno$
","Baby Gravy 2
",Baby Grav,2020
February,20,"Esham
","She Loves Me Not
",Reel Life Production,2020
February,21,"Calboy
","Long Live the Kings - EP
",RC,2020
February,21,"Money Man
","Epidemic
","Black Circle, EMPIR",2020
February,21,"Royce Da 5'9""
","The Allegory
","Heaven Studios, eOn",2020
February,21,"YoungBoy Never Broke Again
","Still Flexin, Still Steppin
","Never Broke Again, Atlanti",2020
February,24,"Young Nudy
","Anyways...
","Young Nudy LLC, Same Plate Entertainment, RC",2020
February,25,"Bones
","Offline
",TeamSES,2020
February,28,"G Herbo
","PTSD
","Machine, Epic Record",2020
February,28,"Lil Baby
","My Turn
","4PF, Wolfpack, Quality Control, Motow",2020
February,28,"Planet Asia and 38 Spesh
","Trust the Chain
",T.C.F,2020
February,28,"Smoke DZA
","A Closed Mouth Don't Get Fed
","RFC, Cinemati",2020
February,28,"The Jacka
","Murder Weapon
",EMPIR,2020
February,28,"Scarlxrd
","Scarhxurs
","Island Records, Lxrd Records, Universal Music Grou",2020
February,28,"Zaytoven, Lil Yachty, Lil Gotit and Lil Keed
","A-Team
","Familiar Territory, Oppositio",2020
March,4,"Bankroll Fresh
","In Bank We Trust
",Street Mone,2020
March,4,"Larry June
","Adjust to the Game
",The Freeminde,2020
March,6,"CJ Fly
","Rudebwoy
",Pro Er,2020
March,6,"Jadakiss
","Ignatius
","So Raspy, D-Block, Def Ja",2020
March,6,"King Von
","LeVon James
","Only the Family, EMPIR",2020
March,6,"Lil Uzi Vert
","Eternal Atake
","Generation Now, Atlanti",2020
March,6,"R.A.P. Ferreira
","Purple Moonlight Pages
",Ruby Yach,2020
March,6,"Riz Ahmed
","The Long Goodbye
",Mongre,2020
March,6,"Megan Thee Stallion
","Suga
","1501 Certified, 30",2020
March,6,"KXNG Crooked
","The Sixteen Chapel
","Hitmaker Music Group, New Wave Distr",2020
March,13,"Blueface
","Find the Beat
","Cash Money West, Cash Money, Republi",2020
March,13,"Curren$y and Fendi P
","Smokin' Potnas
","Jet Life, EMPIR",2020
March,13,"DJ Esco and Doe Boy
","56 Birdz
","Freebandz, Epi",2020
March,13,"Don Toliver
","Heaven or Hell
","We Run It, Cactus Jack, Atlanti",2020
March,13,"Jack Harlow
","Sweet Action
","Generation Now, Atlanti",2020
March,13,"Jay Electronica
","A Written Testimony
",Roc Natio,2020
March,13,"Jelly Roll
","A Beautiful Disaster
",War Do,2020
March,13,"King Iso
","World War Me
",Strange Musi,2020
March,13,"Lil Uzi Vert
","Lil Uzi Vert vs. the World 2
","Generation Now, Atlanti",2020
March,13,"Rich the Kid
","Boss Man
","Rich Forever Music, Republi",2020
March,17,"Lil' Flip
","The Leprechaun 2
","GT Digital, Clover ",2020
March,18,"ZelooperZ
","Gremlin
",Bruiser Brigad,2020
March,20,"Money Man
","State of Emergency
","Black Circle, EMPIR",2020
March,20,"Paul Wall
","Mind over Matter
",Oiler Mobb En,2020
March,20,"Sada Baby
","Skuba Sada 2
",Asylu,2020
March,20,"The Weeknd
","After Hours
","XO, Republi",2020
March,22,"Childish Gambino
","3.15.20
",RC,2020
March,26,"Trevor Daniel
","Nicotine
","Alamo, Internet Money, Interscop",2020
March,27,"42 Dugg
","Young & Turnt, Vol. 2
","4PF, CMG, EMPIR",2020
March,27,"Comethazine
","Pandemic
","Alamo, EMPIR",2020
March,27,"Jeezy
","Twenty/20 Pyrex Vision
",Agency 9,2020
March,27,"Joyner Lucas
","ADHD
",Twenty Nine Music Grou,2020
March,27,"Knxwledge
","1988
",Stones Thro,2020
March,27,"PartyNextDoor
","Partymobile
","OVO Sound, Warne",2020
March,27,"Skepta, Chip and Young Adz
","Insomnia
",SKC M2,2020
March,27,"Slim Thug
","Thug Life
",Hogg Lif,2020
March,30,"Conway the Machine and The Alchemist
","Lulu
","ALC Records, Griselda Records, EMPIR",2020
April,3,"A$AP Twelvyy
","Before Noon
",Last Year Being Broke(n,2020
April,3,"Headie One and Fred Again
","Gang
",Relentless Record,2020
April,3,"Rod Wave
","Pray 4 Love
",Alam,2020
April,8,"Z-Ro
","Quarantine: Social Distancing
","1 Deep Entertainment, EMPIR",2020
April,10,"22Gz
","Growth & Development
","Sniper Gang, Atlanti",2020
April,10,"Cadet
","The Rated Legend
",Underrated Legend,2020
April,10,"Curren$y and Cardo
","The Green Tape
",Jet Life Recording,2020
April,10,"DJ Drama and 24hrs
","12 AM in Atlanta
","Private Club, Rostru",2020
April,10,"Killarmy
","Full Metal Jackets
",Granddaddy Flow Ent,2020
April,10,"Kool Keith and Thetan
","Space Goretex
",Anti-Cor,2020
April,"
","Tory Lanez
","The New Toronto 3
","Mad Love, Interscop",2020
April,17,"Berner and B-Real
","Los Meros
",Bern One Entertainmen,2020
April,17,"DaBaby
","Blame It on Baby
","SCMG, Interscop",2020
April,17,"dvsn
","A Muse in Her Feelings
","OVO Sound, Warne",2020
April,17,"Fredo Bang
","Most Hated
","Bang Biz Ent., Def Ja",2020
April,17,"Khujo
","Echoes of a Legend
",[115],2020
April,17,"R.A. the Rugged Man
","All My Heroes Are Dead
",Nature Sounds Record,2020
April,17,"RJD2
","The Fun Ones
",RJ's Electrical Connection,2020
April,17,"Tech N9ne
","Enterfear
",Strange Musi,2020
April,17,"Westside Gunn
","Pray for Paris
","Griselda, EMPIR",2020
April,19,"Daz Dillinger and Big Gipp
","A.T.L.A.
",Dilly Record,2020
April,20,"Smino
","She Already Decided
",Zero Fatigu,2020
April,20,"Twiztid
","Mad Season
",Majik Ninja Entertainmen,2020
April,20,"Upchurch
","Everlasting Country
","RHEC, Stonebaby Sound",2020
April,20,"Wiz Khalifa
","The Saga of Wiz Khalifa
","Taylor Gang, Atlanti",2020
April,20,"Bones and Drew The Architect
","DamagedGoods
",TeamSES,2020
April,24,"Fivio Foreign
","800 BC
","RichFish, Columbi",2020
April,24,"Jackboy
","Jackboy
","Sniper Gang, Empir",2020
April,24,"K Camp
","Kiss Five
","Rare Sound, Interscop",2020
April,24,"K.A.A.N. and FloFilz
","Lost in Translation
",Redefinition Record,2020
April,24,"Lil Gotit
","Hood Baby 2
","Alamo Records, EMPIR",2020
April,24,"Quelle Chris and Chris Keys
","Innocent Country 2
",Mello Music Grou,2020
April,24,"Trouble
","Thug Luv
","EarDrummers, Def Ja",2020
April,24,"YoungBoy Never Broke Again
","38 Baby 2
","Never Broke Again, Atlanti",2020
April,27,"Jon Connor
","SOS
",All Varsity Music Grou,2020
May,1,"Ace Hood
","Self Preservation
","Hood Nation, EMPIR",2020
May,1,"Casual
","Big Head Science
",Mystery School Audi,2020
May,1,"Dee-1
","Timeless
",Mission Vision Musi,2020
May,1,"Drake
","Dark Lane Demo Tapes
","OVO, Republi",2020
May,1,"E.D.I. Mean
","O.G. Volume II: Classics in Session
",O4L Digita,2020
May,1,"Lil' Flip and Tum Tum
","Made in Texas
",Music Access Inc,2020
May,1,"Jay Worthy and Harry Fraud
","Eat When You're Hungry Sleep When You're Tired
","SRFSCHL, GD",2020
May,1,"Mozzy
","Beyond Bulletproof
","Mozzy Records, EMPIR",2020
May,1,"Nef the Pharaoh
","Changszn 2
","Kilfmb, Sick Wid It, EMPIR",2020
May,1,"Rasheed Chappell and 38 Spesh
","Ways & Means
",T.C.F. Music Grou,2020
May,1,"Sha Money XL
","Chain on the Bike Vol. 1
",Teamwork Musi,2020
May,1,"Yxng Bane
","Quarantime: The Lost Files
",London Record,2020
May,5,"Chris Brown and Young Thug
","Slime & B
","CBE, YSL, 300, Atlantic, RC",2020
May,8,"E-40
"," The Curb Commentator Channel 1
",Sick Wid I,2020
May,8,"Larry June and Cardo
","Cruise USA
",The Freeminde,2020
May,8,"Lil Durk
","Just Cause Y'all Waited 2
","OTF, Alamo, Geffe",2020
May,8,"Lil Tjay
","State of Emergency
",Columbi,2020
May,8,"Nav
","Good Intentions
","XO, Republi",2020
May,8,"Sad Frosty
","Happy Cult
",EMPIR,2020
May,8,"Yella Beezy and Trapboy Freddy
","I'm My Brother's Keeper
","HITCO, 30",2020
May,11,"Nav
","Brown Boy 2
","XO, Republi",2020
May,12,"Fatt Father
","King Father
",Fueled by Lif,2020
May,15,"Conway the Machine and Big Ghost LTD
","No One Mourns the Wicked
","Griselda, Big Ghost Limited, De Rap Winke",2020
May,15,"Future
","High Off Life
","Freebandz, Epi",2020
May,15,"Polo G
","The Goat
",Columbi,2020
May,15,"$crim
","A Man Rose from the Dead
",G*59 Record,2020
May,15,"Roy Wood$
","Dem Times
","OVO Sound, Warne",2020
May,15,"Sheff G
","One and Only
","Winners Circle, EMPIR",2020
May,15,"Tha Chill
","Fohead
",Bump Johnson Inc,2020
May,15,"Yung Lean
","Starz
",YEAR000,2020
May,20,"Young Buck
","Outbreak
",Cashville Record,2020
May,22,"Dej Loaf
","It's a Set Up!
","Yellow World, The Dispensar",2020
May,22,"Gunna
","Wunna
","YSL, 30",2020
May,22,"Ill Bill and Nems
","Gorilla Twins
",Uncle Howie Record,2020
May,22,"Key Glock
","Son of a Gun
","Paper Route, EMPIR",2020
May,22,"Kota the Friend
","Everything
",Fltbys LL,2020
May,22,"KSI
","Dissimulation
","RBC Records, BMG Rights Managemen",2020
May,22,"Styles P
","Styles David: Ghost Your Enthusiasm
","The Phantom Entertainment, Empir",2020
May,22,"Young M.A
","Red Flu
",M.A Musi,2020
May,25,"Gorilla Zoe
","Vaccine
",[165],2020
May,27,"Rittz
","White Jesus Loosies Collection
",CNT Record,2020
May,28,"Backxwash
","God Has Nothing to Do with This Leave Him Out of It
",Grimalki,2020
May,29,"Ace Hood
","Mr. Hood
","Hood Nation, Empir",2020
May,29,"Dej Loaf
","No Saint EP
",Yellow Worl,2020
May,29,"Freddie Gibbs and The Alchemist
","Alfredo
","ESGN, ALC Record",2020
May,29,"Joell Ortiz and KXNG Crooked
","H.A.R.D.
",Mello Music Grou,2020
May,29,"Lil Yachty
","Lil Boat 3
","Quality Control Music, Motown Record",2020
May,29,"Lucki
","Almost There
",Empir,2020
May,29,"Powfu
","Poems of the Past EP
",Columbia Record,2020
May,29,"Problem
","Coffee & Kush, Vol. 1
",Diamond Lane Music Grou,2020
May,31,"Bones
","REMAINS
",TeamSES,2020
May,31,"Killah Priest
","Rocket to Nebula
",Proverbs Record,2020
June,3,"Run the Jewels
","RTJ4
","Jewel Runners, BMG Record",2020
June,5,"Armand Hammer
","Shrines
",Backwoodz Studio,2020
June,5,"Flatbush Zombies
","Now, More Than Ever
",Glorious Dead Record,2020
June,5,"JayDaYoungan
","Baby23
",,2020
June,5,"Paul Wall and Lil' Keke
","Slab Talk
",SoSout,2020
June,5,"Sleepy Hallow
","Sleepy for President
","Winners Circle, EMPIR",2020
June,12,"Iann Dior
","I'm Gone
","Internet Money, Carolin",2020
June,12,"Scarlxrd
","Fantasy Vxid
","Lxrd Records, Islan",2020
June,12,"RMR
","Drug Dealing Is a Lost Art
","CMNTY CULTURE, Warne",2020
June,17,"Lex ""The Hex"" Master
","Episode 1, Party Castle
",Majik Ninja Entertainmen,2020
June,19,"Black Eyed Peas
","Translation
",Epi,2020
June,19,"Curren$y and Fuse
","Spring Clean
","808 Mafia, Jet Life, EMPIR",2020
June,19,"Skyzoo
","Milestones
",Mello Music Grou,2020
June,19,"Smokepurpp
","Florida Jit
","Alamo, Geffe",2020
June,19,"Tee Grizzley
","The Smartest
",30,2020
June,19,"Teyana Taylor
","The Album
","GOOD Music, Def Ja",2020
June,19,"Wale
","The Imperfect Storm
","Maybach, Warne",2020
June,20,"City Girls
","City on Lock
","Quality Control, Motow",2020
June,21,"MIKE
","Weight of the World
",10,2020
June,25,"ProfJam and Benji Price
","System
","Think Music Records, Sony Musi",2020
June,26,"6lack
","6pc Hot EP
",Interscop,2020
June,26,"88Glam
","New Mania
",[189],2020
June,26,"August Alsina
","The Product III: State of Emergency
","Shake the World, EMPIR",2020
June,26,"CeeLo Green
","CeeLo Green Is Thomas Callaway
","Easy Eye Sound, BM",2020
June,26,"G-Eazy
","Everything's Strange Here
","BPG, RVG, RC",2020
June,26,"IDK
","IDK & Friends 2 (Basketball County Soundtrack)
","Clue No Clue, Warne",2020
June,26,"Max B
","Charly
","Eloquent Music, Phase One Networ",2020
June,26,"Nasty C and DJ Whoo Kid
","Zulu
",Def Ja,2020
June,26,"Nick Grant and Tae Beast
","God Bless the Child
","21 Grams, Tae Beast Music, Nick Grant Musi",2020
June,26,"Yungeen Ace
","Don Dada
",Cinematic Music Grou,2020
June,26,"Bankrol Hayden
","Pain Is Temporary
","Atlantic, Warner Music Grou",2020
June,26,"Z-Ro
","Rohammad Ali
","1 Deep Entertainment, EMPIR",2020
June,27,"Iron Wigs (Vic Spencer, Verbal Kent and Sonnyjim)
","Your Birthday's Cancelled
",Mello Music Grou,2020
July,1,"Buckwild
","Fully Loaded
",Kurrup Music Ent,2020
July,3,"Chevy Woods
","Since Birth
",Taylor Gan,2020
July,3,"Gucci Mane
","So Icy Summer
","GUWOP, Atlanti",2020
July,3,"RARE Sound and K Camp
","RARE Family
",RARE SOUN,2020
